thread number,time
2,31
2,50
2,31
2,34
2,34
3,38
3,32
3,32
3,36
3,34
4,48
4,50
4,47
4,39
4,48
5,40
5,56
5,42
5,55
5,61
6,42
6,54
6,50
6,53
6,50
7,54
7,60
7,58
7,55
7,49
8,53
8,56
8,57
8,54
8,54
9,58
9,52
9,62
9,57
9,57
10,64
10,64
10,49
10,58
10,43
11,54
11,53
11,59
11,55
11,56
12,62
12,60
12,60
12,54
12,45
13,60
13,60
13,58
13,53
13,62
14,46
14,57
14,53
14,64
14,51
15,63
15,61
15,56
15,42
15,57
16,77
16,51
16,59
16,58
16,62
